Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,MONETARY AGREGATES
,,,,,Monetary Statistics Department - Central Bank of the Argentine Republic
,,,,,
,,,,,
,,,,,
Year,Month,Monetary expression (m),,,Monetary base (M0)
,,Description,Quantity of,Equivalence,Total
,,,previous,of the original,
,,,monetary unit,monetary unit,
,,,in the new,with the,
,,,monetary,actual mone-,
,,,unit,tary unit,
Año,Mes,divisa,unidad medida,equivalencia,MO
1955.07,Jul.,m$n,1000000,1.0000000000000002e-13,31819.7
1955.08,Ago.,m$n,1000000,1.0000000000000002e-13,32051.1
1955.09,Set.,m$n,1000000,1.0000000000000002e-13,32742.7
1955.1,Oct.,m$n,1000000,1.0000000000000002e-13,33335.7
1955.11,Nov.,m$n,1000000,1.0000000000000002e-13,34078.1
1955.12,Dic.,m$n,1000000,1.0000000000000002e-13,37475.2
1955.13,,,,,
1956.01,Ene.,m$n,1000000,1.0000000000000002e-13,37080.6
1956.02,Feb.,m$n,1000000,1.0000000000000002e-13,36903.3
1956.03,Mar.,m$n,1000000,1.0000000000000002e-13,37086.8
1956.04,Abr.,m$n,1000000,1.0000000000000002e-13,37092.5
1956.05,May.,m$n,1000000,1.0000000000000002e-13,37293
1956.06,Jun.,m$n,1000000,1.0000000000000002e-13,37497
1956.07,Jul.,m$n,1000000,1.0000000000000002e-13,37626.3
1956.08,Ago.,m$n,1000000,1.0000000000000002e-13,37868.9
1956.09,Set.,m$n,1000000,1.0000000000000002e-13,38311.2
1956.1,Oct.,m$n,1000000,1.0000000000000002e-13,38123.9
1956.11,Nov.,m$n,1000000,1.0000000000000002e-13,39245.9
1956.12,Dic.,m$n,1000000,1.0000000000000002e-13,42810.2
1956.13,,,,,
1957.01,Ene. ,m$n,1000000,1.0000000000000002e-13,42600.9
1957.02,Feb.,m$n,1000000,1.0000000000000002e-13,43158.9
1957.03,Mar.,m$n,1000000,1.0000000000000002e-13,43861.1
1957.04,Abr.,m$n,1000000,1.0000000000000002e-13,44567.1
1957.05,May.,m$n,1000000,1.0000000000000002e-13,44807.7
1957.06,Jun.,m$n,1000000,1.0000000000000002e-13,44856.9
1957.07,Jul.,m$n,1000000,1.0000000000000002e-13,44755.8
1957.08,Ago.,m$n,1000000,1.0000000000000002e-13,44717.5
1957.09,Set.,m$n,1000000,1.0000000000000002e-13,44994.3
1957.1,Oct.,m$n,1000000,1.0000000000000002e-13,45218.2
1957.11,Nov.,m$n,1000000,1.0000000000000002e-13,46850.2
1957.12,Dic.,m$n,1000000,1.0000000000000002e-13,63232.00000000001
1957.13,,,,,
1958.01,Ene. ,m$n,1000000,1.0000000000000002e-13,63080.8
1958.02,Feb.,m$n,1000000,1.0000000000000002e-13,63919.6
1958.03,Mar.,m$n,1000000,1.0000000000000002e-13,65822.1
1958.04,Abr.,m$n,1000000,1.0000000000000002e-13,63572.4
1958.05,May.,m$n,1000000,1.0000000000000002e-13,63728.9
1958.06,Jun.,m$n,1000000,1.0000000000000002e-13,66255
1958.07,Jul.,m$n,1000000,1.0000000000000002e-13,68799
1958.08,Ago.,m$n,1000000,1.0000000000000002e-13,70141.3
1958.09,Set.,m$n,1000000,1.0000000000000002e-13,76015.1
1958.1,Oct.,m$n,1000000,1.0000000000000002e-13,78750.5
1958.11,Nov.,m$n,1000000,1.0000000000000002e-13,78002.9
1958.12,Dic.,m$n,1000000,1.0000000000000002e-13,85801.29999999999
1958.13,,,,,
1959.01,Ene.,m$n,1000000,1.0000000000000002e-13,86460.5
1959.02,Feb.,m$n,1000000,1.0000000000000002e-13,91709.20000000001
1959.03,Mar.,m$n,1000000,1.0000000000000002e-13,91436.2
1959.04,Abr.,m$n,1000000,1.0000000000000002e-13,93864
1959.05,May.,m$n,1000000,1.0000000000000002e-13,95657.4
1959.06,Jun.,m$n,1000000,1.0000000000000002e-13,94197.49999999999
1959.07,Jul.,m$n,1000000,1.0000000000000002e-13,99872.29999999999
1959.08,Ago.,m$n,1000000,1.0000000000000002e-13,102501.5
1959.09,Set.,m$n,1000000,1.0000000000000002e-13,106387.1
1959.1,Oct.,m$n,1000000,1.0000000000000002e-13,112098.9
1959.11,Nov.,m$n,1000000,1.0000000000000002e-13,115237.5
1959.12,Dic.,m$n,1000000,1.0000000000000002e-13,118984.5
1959.13,,,,,
1960.01,Ene.,m$n,1000000,1.0000000000000002e-13,122403.2
1960.02,Feb.,m$n,1000000,1.0000000000000002e-13,125601.2
1960.03,Mar.,m$n,1000000,1.0000000000000002e-13,129941.7
1960.04,Abr.,m$n,1000000,1.0000000000000002e-13,131326.19999999998
1960.05,May.,m$n,1000000,1.0000000000000002e-13,134117.1
1960.06,Jun.,m$n,1000000,1.0000000000000002e-13,136779.2
1960.07,Jul.,m$n,1000000,1.0000000000000002e-13,140719.6
1960.08,Ago.,m$n,1000000,1.0000000000000002e-13,143458.7
1960.09,Set.,m$n,1000000,1.0000000000000002e-13,140533.1
1960.1,Oct.,m$n,1000000,1.0000000000000002e-13,140406.2
1960.11,Nov.,m$n,1000000,1.0000000000000002e-13,140788.69999999998
1960.12,Dic.,m$n,1000000,1.0000000000000002e-13,143657.6
1960.13,,,,,
1961.01,Ene. ,m$n,1000000,1.0000000000000002e-13,146782.9
1961.02,Feb.,m$n,1000000,1.0000000000000002e-13,147679.2
1961.03,Mar.,m$n,1000000,1.0000000000000002e-13,150635.80000000002
1961.04,Abr.,m$n,1000000,1.0000000000000002e-13,149321.80000000002
1961.05,May.,m$n,1000000,1.0000000000000002e-13,148099.30000000002
1961.06,Jun.,m$n,1000000,1.0000000000000002e-13,147752.4
1961.07,Jul.,m$n,1000000,1.0000000000000002e-13,145556.5
1961.08,Ago.,m$n,1000000,1.0000000000000002e-13,146049.7
1961.09,Set.,m$n,1000000,1.0000000000000002e-13,145349.4
1961.1,Oct.,m$n,1000000,1.0000000000000002e-13,141579
1961.11,Nov.,m$n,1000000,1.0000000000000002e-13,139188.9
1961.12,Dic.,m$n,1000000,1.0000000000000002e-13,141437.80000000002
1961.13,,,,,
1962.01,Ene. ,m$n,1000000,1.0000000000000002e-13,141023.8
1962.02,Feb.,m$n,1000000,1.0000000000000002e-13,143018.7
1962.03,Mar.,m$n,1000000,1.0000000000000002e-13,146451.59999999998
1962.04,Abr.,m$n,1000000,1.0000000000000002e-13,142511.9
1962.05,May.,m$n,1000000,1.0000000000000002e-13,144133.7
1962.06,Jun.,m$n,1000000,1.0000000000000002e-13,143674.5
1962.07,Jul.,m$n,1000000,1.0000000000000002e-13,145955.69999999998
1962.08,Ago.,m$n,1000000,1.0000000000000002e-13,143721.40000000002
1962.09,Set.,m$n,1000000,1.0000000000000002e-13,144370.6
1962.1,Oct.,m$n,1000000,1.0000000000000002e-13,141763.4
1962.11,Nov.,m$n,1000000,1.0000000000000002e-13,141469.6
1962.12,Dic.,m$n,1000000,1.0000000000000002e-13,152882.40000000002
1962.13,,,,,
1963.01,Ene. ,m$n,1000000,1.0000000000000002e-13,150333
1963.02,Feb.,m$n,1000000,1.0000000000000002e-13,157998.2
1963.03,Mar.,m$n,1000000,1.0000000000000002e-13,161293.4
1963.04,Abr.,m$n,1000000,1.0000000000000002e-13,163980.9
1963.05,May.,m$n,1000000,1.0000000000000002e-13,167285.69999999998
1963.06,Jun.,m$n,1000000,1.0000000000000002e-13,172120.2
1963.07,Jul.,m$n,1000000,1.0000000000000002e-13,180178.2
1963.08,Ago.,m$n,1000000,1.0000000000000002e-13,185735.4
1963.09,Set.,m$n,1000000,1.0000000000000002e-13,188493.7
1963.1,Oct.,m$n,1000000,1.0000000000000002e-13,193882.6
1963.11,Nov.,m$n,1000000,1.0000000000000002e-13,200758.3
1963.12,Dic.,m$n,1000000,1.0000000000000002e-13,210067.8
1963.13,,,,,
1964.01,Ene.,m$n,1000000,1.0000000000000002e-13,214332.6
1964.02,Feb.,m$n,1000000,1.0000000000000002e-13,226002.2
1964.03,Mar.,m$n,1000000,1.0000000000000002e-13,233401.40000000002
1964.04,Abr.,m$n,1000000,1.0000000000000002e-13,248702.7
1964.05,May.,m$n,1000000,1.0000000000000002e-13,256327.40000000002
1964.06,Jun.,m$n,1000000,1.0000000000000002e-13,257051
1964.07,Jul.,m$n,1000000,1.0000000000000002e-13,263233.7
1964.08,Ago.,m$n,1000000,1.0000000000000002e-13,273490.60000000003
1964.09,Set.,m$n,1000000,1.0000000000000002e-13,278133.10000000003
1964.1,Oct.,m$n,1000000,1.0000000000000002e-13,285996.1
1964.11,Nov.,m$n,1000000,1.0000000000000002e-13,293752.7
1964.12,Dic.,m$n,1000000,1.0000000000000002e-13,295654
1964.13,,,,,
1965.01,Ene.,m$n,1000000,1.0000000000000002e-13,306406.1
1965.02,Feb.,m$n,1000000,1.0000000000000002e-13,324069.10000000003
1965.03,Mar.,m$n,1000000,1.0000000000000002e-13,335883.7
1965.04,Abr.,m$n,1000000,1.0000000000000002e-13,346742.9
1965.05,May.,m$n,1000000,1.0000000000000002e-13,353634.3
1965.06,Jun.,m$n,1000000,1.0000000000000002e-13,359141.6
1965.07,Jul.,m$n,1000000,1.0000000000000002e-13,363372.9
1965.08,Ago.,m$n,1000000,1.0000000000000002e-13,370113.5
1965.09,Set.,m$n,1000000,1.0000000000000002e-13,381616.2
1965.1,Oct.,m$n,1000000,1.0000000000000002e-13,380630
1965.11,Nov.,m$n,1000000,1.0000000000000002e-13,380409.6
1965.12,Dic.,m$n,1000000,1.0000000000000002e-13,411655.50000000006
1965.13,,,,,
1966.01,Ene.,m$n,1000000,1.0000000000000002e-13,418042.6
1966.02,Feb.,m$n,1000000,1.0000000000000002e-13,425075.6
1966.03,Mar.,m$n,1000000,1.0000000000000002e-13,432353
1966.04,Abr.,m$n,1000000,1.0000000000000002e-13,431872.7
1966.05,May.,m$n,1000000,1.0000000000000002e-13,442362.2
1966.06,Jun.,m$n,1000000,1.0000000000000002e-13,448471.80000000005
1966.07,Jul.,m$n,1000000,1.0000000000000002e-13,462270.2
1966.08,Ago.,m$n,1000000,1.0000000000000002e-13,465262.9
1966.09,Set.,m$n,1000000,1.0000000000000002e-13,474651
1966.1,Oct.,m$n,1000000,1.0000000000000002e-13,471799
1966.11,Nov.,m$n,1000000,1.0000000000000002e-13,473354.5
1966.12,Dic.,m$n,1000000,1.0000000000000002e-13,523729.6
1966.13,,,,,
1967.01,Ene. ,m$n,1000000000,1.0000000000000002e-13,527.6
1967.02,Feb.,m$n,1000000000,1.0000000000000002e-13,547.5
1967.03,Mar.,m$n,1000000000,1.0000000000000002e-13,575.3
1967.04,Abr.,m$n,1000000000,1.0000000000000002e-13,601.9
1967.05,May.,m$n,1000000000,1.0000000000000002e-13,635
1967.06,Jun.,m$n,1000000000,1.0000000000000002e-13,645.7
1967.07,Jul.,m$n,1000000000,1.0000000000000002e-13,652.0999999999999
1967.08,Ago.,m$n,1000000000,1.0000000000000002e-13,652.1
1967.09,Set.,m$n,1000000000,1.0000000000000002e-13,652.8
1967.1,Oct.,m$n,1000000000,1.0000000000000002e-13,663.2
1967.11,Nov.,m$n,1000000000,1.0000000000000002e-13,686.9
1967.12,Dic.,m$n,1000000000,1.0000000000000002e-13,740.3
1967.13,,,,,
1968.01,Ene. ,m$n,1000000000,1.0000000000000002e-13,730.5999999999999
1968.02,Feb.,m$n,1000000000,1.0000000000000002e-13,749.0999999999999
