Año,divisa,M0,M1,M2,M3
2010-12-31,Pesos,160407987000.0,223007230000.0,317628210000.0,485228799000.0
2011-12-31,Pesos,222921853000.0,288766603000.0,392388205000.0,605084446000.0
2012-12-31,Pesos,307351516000.0,397841567000.0,530021604000.0,796440454000.0
2013-12-31,Pesos,377196524000.0,496727726000.0,662411087000.0,999888062000.0
2014-12-31,Pesos,462564475000.0,640869923000.0,859920572000.0,1283152553000.0
2015-12-31,Pesos,623889517000.0,804666231000.0,1133787379000.0,1761354705000.0
2016-12-31,Pesos,821664245000.0,1033907652000.0,1662509156000.0,2422522377000.0
2017-12-31,Pesos,1001112808000.0,1243333674000.0,2151280144000.0,3105535100000.0
2018-12-31,Pesos,1408977251000.0,1514752312000.0,3023177908000.0,4736256390000.0
2019-12-31,Pesos,1895380875000.0,1952281828000.0,3684447379000.0,5700972157000.0
2020-12-31,Pesos,2470259790000.0,3396051876000.0,6036396530000.0,9524644522000.0
2021-12-31,Pesos,3654036382000.0,5393072144000.0,9256546623000.0,14518199871000.0
2022-12-31,Pesos,5203751253000.0,8539672644000.0,15741282846000.0,26334758102000.0
2023-12-31,Pesos,9607991804000.0,19101653637000.0,47212150647000.0,67350983805000.0
